Country,Location code,ISO3,Subregion,CEDS_eq
Afghanistan,4,AFG,Southern Asia,
Albania,8,ALB,Southern Europe,
Algeria,12,DZA,Northern Africa,
American Samoa,16,ASM,Polynesia,
Andorra,20,AND,Southern Europe,
Angola,24,AGO,Middle Africa,
Antigua and Barbuda,28,ATG,Caribbean,
Azerbaijan,31,AZE,Western Asia,
Argentina,32,ARG,South America,
Australia,36,AUS,Australia/New Zealand,
Austria,40,AUT,Western Europe,
Bahamas,44,BHS,Caribbean,
Bahrain,48,BHR,Western Asia,
Bangladesh,50,BGD,Southern Asia,
Armenia,51,ARM,Western Asia,
Barbados,52,BRB,Caribbean,
Belgium,56,BEL,Western Europe,
Bermuda,60,BMU,,
Bhutan,64,BTN,Southern Asia,
Bolivia (Plurinational State of),68,BOL,South America,
Bosnia and Herzegovina,70,BIH,Southern Europe,
Botswana,72,BWA,Southern Africa,
Brazil,76,BRA,South America,
Belize,84,BLZ,Central America,
Solomon Islands,90,SLB,Melanesia,
British Virgin Islands,92,VGB,Caribbean,
Brunei Darussalam,96,BRN,South-Eastern Asia,
Bulgaria,100,BGR,Eastern Europe,
Myanmar,104,MMR,South-Eastern Asia,
Burundi,108,BDI,Eastern Africa,
Belarus,112,BLR,Eastern Europe,
Cambodia,116,KHM,South-Eastern Asia,
Cameroon,120,CMR,Middle Africa,
Canada,124,CAN,,
Cabo Verde,132,CPV,Western Africa,
Cayman Islands,136,CYM,Caribbean,
Central African Republic,140,CAF,Middle Africa,
Sri Lanka,144,LKA,Southern Asia,
Chad,148,TCD,Middle Africa,
Chile,152,CHL,South America,
China,156,CHN,Eastern Asia,
"China, Taiwan Province of China",158,TWN,Eastern Asia,
Colombia,170,COL,South America,
Comoros,174,COM,Eastern Africa,
Mayotte,175,MYT,Eastern Africa,
Congo,178,COG,Middle Africa,
Democratic Republic of the Congo,180,COD,Middle Africa,
Cook Islands,184,COK,Polynesia,
Costa Rica,188,CRI,Central America,
Croatia,191,HRV,Southern Europe,
Cuba,192,CUB,Caribbean,
Cyprus,196,CYP,Western Asia,
Czechia,203,CZE,Eastern Europe,
Benin,204,BEN,Western Africa,
Denmark,208,DNK,Northern Europe,
Dominica,212,DMA,Caribbean,
Dominican Republic,214,DOM,Caribbean,
Ecuador,218,ECU,South America,
El Salvador,222,SLV,Central America,
Equatorial Guinea,226,GNQ,Middle Africa,
Ethiopia,231,ETH,Eastern Africa,
Eritrea,232,ERI,Eastern Africa,
Estonia,233,EST,Northern Europe,
Faroe Islands,234,FRO,Northern Europe,
Falkland Islands (Malvinas),238,FLK,South America,
Fiji,242,FJI,Melanesia,
Finland,246,FIN,Northern Europe,
France,250,FRA,Western Europe,
French Guiana,254,GUF,South America,
French Polynesia,258,PYF,Polynesia,
Djibouti,262,DJI,Eastern Africa,
Gabon,266,GAB,Middle Africa,
Georgia,268,GEO,Western Asia,
Gambia,270,GMB,Western Africa,
State of Palestine,275,PSE,Western Asia,
Germany,276,DEU,Western Europe,
Ghana,288,GHA,Western Africa,
Gibraltar,292,GIB,Southern Europe,
Kiribati,296,KIR,Micronesia,
Greece,300,GRC,Southern Europe,
Greenland,304,GRL,,
Grenada,308,GRD,Caribbean,
Guadeloupe,312,GLP,Caribbean,
Guam,316,GUM,Micronesia,
Guatemala,320,GTM,Central America,
Guinea,324,GIN,Western Africa,
Guyana,328,GUY,South America,
Haiti,332,HTI,Caribbean,
Holy See,336,VAT,Southern Europe,
Honduras,340,HND,Central America,
"China, Hong Kong SAR",344,HKG,Eastern Asia,
Hungary,348,HUN,Eastern Europe,
Iceland,352,ISL,Northern Europe,
India,356,IND,Southern Asia,
Indonesia,360,IDN,South-Eastern Asia,
Iran (Islamic Republic of),364,IRN,Southern Asia,
Iraq,368,IRQ,Western Asia,
Ireland,372,IRL,Northern Europe,
Israel,376,ISR,Western Asia,
Italy,380,ITA,Southern Europe,
Côte d'Ivoire,384,CIV,Western Africa,
Jamaica,388,JAM,Caribbean,
Japan,392,JPN,Eastern Asia,
Kazakhstan,398,KAZ,Central Asia,
Jordan,400,JOR,Western Asia,
Kenya,404,KEN,Eastern Africa,
Dem. People's Republic of Korea,408,PRK,Eastern Asia,
Republic of Korea,410,KOR,Eastern Asia,
Kuwait,414,KWT,Western Asia,
Kyrgyzstan,417,KGZ,Central Asia,
Lao People's Democratic Republic,418,LAO,South-Eastern Asia,
Lebanon,422,LBN,Western Asia,
Lesotho,426,LSO,Southern Africa,
Latvia,428,LVA,Northern Europe,
Liberia,430,LBR,Western Africa,
Libya,434,LBY,Northern Africa,
Liechtenstein,438,LIE,Western Europe,
Lithuania,440,LTU,Northern Europe,
Luxembourg,442,LUX,Western Europe,
"China, Macao SAR",446,MAC,Eastern Asia,
Madagascar,450,MDG,Eastern Africa,
Malawi,454,MWI,Eastern Africa,
Malaysia,458,MYS,South-Eastern Asia,
Maldives,462,MDV,Southern Asia,
Mali,466,MLI,Western Africa,
Malta,470,MLT,Southern Europe,
Martinique,474,MTQ,Caribbean,
Mauritania,478,MRT,Western Africa,
Mauritius,480,MUS,Eastern Africa,
Mexico,484,MEX,Central America,
Monaco,492,MCO,Western Europe,
Mongolia,496,MNG,Eastern Asia,
Republic of Moldova,498,MDA,Eastern Europe,
Montenegro,499,MNE,Southern Europe,
Montserrat,500,MSR,Caribbean,
Morocco,504,MAR,Northern Africa,
Mozambique,508,MOZ,Eastern Africa,
Oman,512,OMN,Western Asia,
Namibia,516,NAM,Southern Africa,
Nauru,520,NRU,Micronesia,
Nepal,524,NPL,Southern Asia,
Netherlands,528,NLD,Western Europe,
Curaçao,531,CUW,Caribbean,
Aruba,533,ABW,Caribbean,
Sint Maarten (Dutch part),534,SXM,Caribbean,
"Bonaire, Sint Eustatius and Saba",535,BES,Caribbean,
New Caledonia,540,NCL,Melanesia,
Vanuatu,548,VUT,Melanesia,
New Zealand,554,NZL,Australia/New Zealand,
Nicaragua,558,NIC,Central America,
Niger,562,NER,Western Africa,
Nigeria,566,NGA,Western Africa,
Niue,570,NIU,Polynesia,
Norway,578,NOR,Northern Europe,
Northern Mariana Islands,580,MNP,Micronesia,
Micronesia (Fed. States of),583,FSM,Micronesia,
Marshall Islands,584,MHL,Micronesia,
Palau,585,PLW,Micronesia,
Pakistan,586,PAK,Southern Asia,
Panama,591,PAN,Central America,
Papua New Guinea,598,PNG,Melanesia,
Paraguay,600,PRY,South America,
Peru,604,PER,South America,
Philippines,608,PHL,South-Eastern Asia,
Poland,616,POL,Eastern Europe,
Portugal,620,PRT,Southern Europe,
Guinea-Bissau,624,GNB,Western Africa,
Timor-Leste,626,TLS,South-Eastern Asia,
Puerto Rico,630,PRI,Caribbean,
Qatar,634,QAT,Western Asia,
Réunion,638,REU,Eastern Africa,
Romania,642,ROU,Eastern Europe,
